  0.3000   8.7000 1
  0.1500   8.9598 1
 -0.1500   8.9598 1
 -0.3000   8.7000 1
 -0.1500   8.4402 1
  0.1500   8.4402 1
  0.6000   8.7000 1
  0.5196   9.0000 1
  0.3000   9.2196 1
  0.0000   9.3000 1
 -0.3000   9.2196 1
 -0.5196   9.0000 1
 -0.6000   8.7000 1
 -0.5196   8.4000 1
 -0.3000   8.1804 1
 -0.0000   8.1000 1
  0.3000   8.1804 1
  0.5196   8.4000 1
  0.9000   8.7000 1
  0.8457   9.0078 1
  0.6894   9.2785 1
  0.4500   9.4794 1
  0.1563   9.5863 1
 -0.1563   9.5863 1
 -0.4500   9.4794 1
 -0.6894   9.2785 1
 -0.8457   9.0078 1
 -0.9000   8.7000 1
 -0.8457   8.3922 1
 -0.6894   8.1215 1
 -0.4500   7.9206 1
 -0.1563   7.8137 1
  0.1563   7.8137 1
  0.4500   7.9206 1
  0.6894   8.1215 1
  0.8457   8.3922 1
  1.2000   8.7000 1
  1.1591   9.0106 1
  1.0392   9.3000 1
  0.8485   9.5485 1
  0.6000   9.7392 1
  0.3106   9.8591 1
  0.0000   9.9000 1
 -0.3106   9.8591 1
 -0.6000   9.7392 1
 -0.8485   9.5485 1
 -1.0392   9.3000 1
 -1.1591   9.0106 1
 -1.2000   8.7000 1
 -1.1591   8.3894 1
 -1.0392   8.1000 1
 -0.8485   7.8515 1
 -0.6000   7.6608 1
 -0.3106   7.5409 1
 -0.0000   7.5000 1
  0.3106   7.5409 1
  0.6000   7.6608 1
  0.8485   7.8515 1
  1.0392   8.1000 1
  1.1591   8.3894 1
  1.5000   8.7000 1
  1.4672   9.0119 1
  1.3703   9.3101 1
  1.2135   9.5817 1
  1.0037   9.8147 1
  0.7500   9.9990 1
  0.4635  10.1266 1
  0.1568  10.1918 1
 -0.1568  10.1918 1
 -0.4635  10.1266 1
 -0.7500   9.9990 1
 -1.0037   9.8147 1
 -1.2135   9.5817 1
 -1.3703   9.3101 1
 -1.4672   9.0119 1
 -1.5000   8.7000 1
 -1.4672   8.3881 1
 -1.3703   8.0899 1
 -1.2135   7.8183 1
 -1.0037   7.5853 1
 -0.7500   7.4010 1
 -0.4635   7.2734 1
 -0.1568   7.2082 1
  0.1568   7.2082 1
  0.4635   7.2734 1
  0.7500   7.4010 1
  1.0037   7.5853 1
  1.2135   7.8183 1
  1.3703   8.0899 1
  1.4672   8.3881 1
  1.8000   8.7000 1
  1.7727   9.0126 1
  1.6914   9.3156 1
  1.5588   9.6000 1
  1.3789   9.8570 1
  1.1570  10.0789 1
  0.9000  10.2588 1
  0.6156  10.3914 1
  0.3126  10.4727 1
  0.0000  10.5000 1
 -0.3126  10.4727 1
 -0.6156  10.3914 1
 -0.9000  10.2588 1
 -1.1570  10.0789 1
 -1.3789   9.8570 1
 -1.5588   9.6000 1
 -1.6914   9.3156 1
 -1.7727   9.0126 1
 -1.8000   8.7000 1
 -1.7727   8.3874 1
 -1.6914   8.0844 1
 -1.5588   7.8000 1
 -1.3789   7.5430 1
 -1.1570   7.3211 1
 -0.9000   7.1412 1
 -0.6156   7.0086 1
 -0.3126   6.9273 1
 -0.0000   6.9000 1
  0.3126   6.9273 1
  0.6156   7.0086 1
  0.9000   7.1412 1
  1.1570   7.3211 1
  1.3789   7.5430 1
  1.5588   7.8000 1
  1.6914   8.0844 1
  1.7727   8.3874 1
  2.1000   8.7000 1
  2.0765   9.0130 1
  2.0067   9.3190 1
  1.8920   9.6112 1
  1.7351   9.8830 1
  1.5394  10.1284 1
  1.3093  10.3418 1
  1.0500  10.5187 1
  0.7672  10.6548 1
  0.4673  10.7473 1
  0.1569  10.7941 1
 -0.1569  10.7941 1
 -0.4673  10.7473 1
 -0.7672  10.6548 1
 -1.0500  10.5187 1
 -1.3093  10.3418 1
 -1.5394  10.1284 1
 -1.7351   9.8830 1
 -1.8920   9.6112 1
 -2.0067   9.3190 1
 -2.0765   9.0130 1
 -2.1000   8.7000 1
 -2.0765   8.3870 1
 -2.0067   8.0810 1
 -1.8920   7.7888 1
 -1.7351   7.5170 1
 -1.5394   7.2716 1
 -1.3093   7.0582 1
 -1.0500   6.8813 1
 -0.7672   6.7452 1
 -0.4673   6.6527 1
 -0.1569   6.6059 1
  0.1569   6.6059 1
  0.4673   6.6527 1
  0.7672   6.7452 1
  1.0500   6.8813 1
  1.3093   7.0582 1
  1.5394   7.2716 1
  1.7351   7.5170 1
  1.8920   7.7888 1
  2.0067   8.0810 1
  2.0765   8.3870 1
  2.4000   8.7000 1
  2.3795   9.0133 1
  2.3182   9.3212 1
  2.2173   9.6184 1
  2.0785   9.9000 1
  1.9040  10.1610 1
  1.6971  10.3971 1
  1.4610  10.6040 1
  1.2000  10.7785 1
  0.9184  10.9173 1
  0.6212  11.0182 1
  0.3133  11.0795 1
  0.0000  11.1000 1
 -0.3133  11.0795 1
 -0.6212  11.0182 1
 -0.9184  10.9173 1
 -1.2000  10.7785 1
 -1.4610  10.6040 1
 -1.6971  10.3971 1
 -1.9040  10.1610 1
 -2.0785   9.9000 1
 -2.2173   9.6184 1
 -2.3182   9.3212 1
 -2.3795   9.0133 1
 -2.4000   8.7000 1
 -2.3795   8.3867 1
 -2.3182   8.0788 1
 -2.2173   7.7816 1
 -2.0785   7.5000 1
 -1.9040   7.2390 1
 -1.6971   7.0029 1
 -1.4610   6.7960 1
 -1.2000   6.6215 1
 -0.9184   6.4827 1
 -0.6212   6.3818 1
 -0.3133   6.3205 1
 -0.0000   6.3000 1
  0.3133   6.3205 1
  0.6212   6.3818 1
  0.9184   6.4827 1
  1.2000   6.6215 1
  1.4610   6.7960 1
  1.6971   7.0029 1
  1.9040   7.2390 1
  2.0785   7.5000 1
  2.2173   7.7816 1
  2.3182   8.0788 1
  2.3795   8.3867 1
  2.7000   8.7000 1
  2.6817   9.0135 1
  2.6272   9.3227 1
  2.5372   9.6235 1
  2.4128   9.9118 1
  2.2558  10.1837 1
  2.0683  10.4355 1
  1.8529  10.6639 1
  1.6123  10.8657 1
  1.3500  11.0383 1
  1.0694  11.1792 1
  0.7744  11.2866 1
  0.4689  11.3590 1
  0.1570  11.3954 1
 -0.1570  11.3954 1
 -0.4689  11.3590 1
 -0.7744  11.2866 1
 -1.0694  11.1792 1
 -1.3500  11.0383 1
 -1.6123  10.8657 1
 -1.8529  10.6639 1
 -2.0683  10.4355 1
 -2.2558  10.1837 1
 -2.4128   9.9118 1
 -2.5372   9.6235 1
 -2.6272   9.3227 1
 -2.6817   9.0135 1
 -2.7000   8.7000 1
 -2.6817   8.3865 1
 -2.6272   8.0773 1
 -2.5372   7.7765 1
 -2.4128   7.4882 1
 -2.2558   7.2163 1
 -2.0683   6.9645 1
 -1.8529   6.7361 1
 -1.6123   6.5343 1
 -1.3500   6.3617 1
 -1.0694   6.2208 1
 -0.7744   6.1134 1
 -0.4689   6.0410 1
 -0.1570   6.0046 1
  0.1570   6.0046 1
  0.4689   6.0410 1
  0.7744   6.1134 1
  1.0694   6.2208 1
  1.3500   6.3617 1
  1.6123   6.5343 1
  1.8529   6.7361 1
  2.0683   6.9645 1
  2.2558   7.2163 1
  2.4128   7.4882 1
  2.5372   7.7765 1
  2.6272   8.0773 1
  2.6817   8.3865 1
  3.0000   8.7000 1
  2.9836   9.0136 1
  2.9344   9.3237 1
  2.8532   9.6271 1
  2.7406   9.9202 1
  2.5981  10.2000 1
  2.4271  10.4634 1
  2.2294  10.7074 1
  2.0074  10.9294 1
  1.7634  11.1271 1
  1.5000  11.2981 1
  1.2202  11.4406 1
  0.9271  11.5532 1
  0.6237  11.6344 1
  0.3136  11.6836 1
  0.0000  11.7000 1
 -0.3136  11.6836 1
 -0.6237  11.6344 1
 -0.9271  11.5532 1
 -1.2202  11.4406 1
 -1.5000  11.2981 1
 -1.7634  11.1271 1
 -2.0074  10.9294 1
 -2.2294  10.7074 1
 -2.4271  10.4634 1
 -2.5981  10.2000 1
 -2.7406   9.9202 1
 -2.8532   9.6271 1
 -2.9344   9.3237 1
 -2.9836   9.0136 1
 -3.0000   8.7000 1
 -2.9836   8.3864 1
 -2.9344   8.0763 1
 -2.8532   7.7729 1
 -2.7406   7.4798 1
 -2.5981   7.2000 1
 -2.4271   6.9366 1
 -2.2294   6.6926 1
 -2.0074   6.4706 1
 -1.7634   6.2729 1
 -1.5000   6.1019 1
 -1.2202   5.9594 1
